tipo,archivo,duracion_original,sampling_rate_original
TC,2018-10-10-1816-58S.LC05__001_00_01,171.995,200.0
TC,2018-05-15-1845-48S.B2DA__001_00_01,51.998,500.0
VT,2018-03-09-1345-25S.LC10__001_00_01,17.995,200.0
TC,2018-06-16-0451-40S.LC10__001_00_01,59.995,200.0
VT,2018-04-15-0336-19S.LC07__001_00_01,9.995,200.0
LP,2018-04-03-0618-10S.B2DA__001_00_01,24.998,500.0
VT,2018-04-18-1450-13S.LC10__001_00_01,8.995,200.0
VT,2018-07-13-0924-20S.LC10__001_00_01,29.995,200.0
VT,2018-04-21-1329-56S.LC10__001_00_01,9.995,200.0
TC,2018-05-06-1124-44S.LC10__001_00_01,135.995,200.0
TC,2018-05-26-2132-50S.LC10__001_00_01,109.995,200.0
HY,2018-05-02-2121-10S.LC10__001_00_01,34.995,200.0
TC,2018-05-03-0019-55S.LC10__001_00_01,54.995,200.0
TC,2018-04-13-0512-54S.LC10__001_00_01,85.995,200.0
TC,2018-08-15-1059-10S.LC08__001_00_01,48.995,200.0
LP,2018-09-17-2105-50S.LC05__001_00_01,79.995,200.0
VT,2018-06-09-0459-05S.LC10__001_00_01,14.995,200.0
TC,2018-05-01-1713-40S.LC10__001_00_01,79.995,200.0
VT,2018-03-28-0603-01S.LC10__001_00_01,12.995,200.0
HY,2018-06-28-0347-47S.LC10__001_00_01,17.995,200.0
VT,2018-08-25-1244-21S.LC05__001_00_01,16.995,200.0
TC,2018-06-20-0503-20S.LC10__001_00_01,34.995,200.0
VT,2018-05-24-1322-50S.LC10__001_00_01,39.995,200.0
TC,2018-03-22-1730-27S.LC10__001_00_01,21.995,200.0
TC,2018-09-29-1724-31S.LC05__001_00_01,148.995,200.0
VT,2018-05-05-0953-54S.LC10__001_00_01,25.995,200.0
TR,2018-04-18-1747-47S.LC10__001_00_01,62.995,200.0
TR,2018-03-20-1022-28S.LC10__001_00_01,28.995,200.0
TC,2018-04-01-1255-44S.LC10__001_00_01,24.995,200.0
TC,2018-04-14-1942-34S.LC07__001_00_01,19.995,200.0
LP,2018-04-01-1733-49S.LC10__001_00_01,70.995,200.0
VT,2018-03-19-1701-31S.LC10__001_00_01,10.995,200.0
TC,2018-04-09-0514-28S.LC07__001_00_01,8.995,200.0
VT,2018-09-22-1310-09S.LC04__001_00_01,10.995,200.0
VT,2018-06-17-2053-40S.LC10__001_00_01,59.995,200.0
VT,2018-06-21-2023-00S.LC04__001_00_01,59.995,200.0
TR,2018-06-17-1806-20S.LC10__001_00_01,29.995,200.0
VT,2018-04-05-0622-23S.LC10__001_00_01,11.995,200.0
TR,2018-03-23-0350-49S.LC07__001_00_01,9.995,200.0
TC,2018-04-28-1301-05S.LC10__001_00_01,44.995,200.0
VT,2018-03-12-0618-53S.LC10__001_00_01,12.995,200.0
VT,2018-06-05-1750-20S.LC10__001_00_01,24.995,200.0
TC,2018-09-30-2127-20S.LC08__001_00_01,99.995,200.0
VT,2018-04-25-2308-44S.LC10__001_00_01,9.995,200.0
VT,2018-05-14-1201-30S.LC10__001_00_01,29.995,200.0
LP,2018-05-29-2146-20S.LC10__001_00_01,99.995,200.0
VT,2018-10-05-0037-15S.LC05__001_00_01,24.995,200.0
VT,2018-06-02-0012-55S.LC10__001_00_01,14.995,200.0
VT,2018-03-31-0640-20S.LC10__001_00_01,15.995,200.0
VT,2018-04-12-2105-44S.LC10__001_00_01,9.995,200.0
LP,2018-05-05-0028-36S.LC10__001_00_01,203.995,200.0
VT,2018-10-20-2345-40S.LC05__001_00_01,29.995,200.0
TR,2018-05-07-0315-20S.LC10__001_00_01,49.995,200.0
VT,2018-05-05-1424-48S.LC10__001_00_01,31.995,200.0
VT,2018-06-30-2329-48S.LC05__001_00_01,21.995,200.0
VT,2018-06-25-1304-04S.LC10__001_00_01,15.995,200.0
VT,2018-03-07-0057-36S.LC10__001_00_01,19.995,200.0
TC,2018-05-16-0051-17S.B2DA__001_00_01,162.998,500.0
VT,2018-03-18-0503-59S.LC10__001_00_01,11.995,200.0
VT,2018-06-04-1332-08S.LC10__001_00_01,21.995,200.0
TC,2018-03-07-1017-47S.LC07__001_00_01,12.995,200.0
VT,2018-03-21-0741-40S.LC10__001_00_01,24.995,200.0
TC,2018-04-07-1739-02S.LC10__001_00_01,137.995,200.0
TC,2018-05-04-2027-15S.LC10__001_00_01,224.995,200.0
LP,2018-08-09-2107-55S.LC05__001_00_01,17.995,200.0
VT,2018-04-28-1153-14S.LC10__001_00_01,9.995,200.0
TC,2018-07-09-2124-00S.LC05__001_00_01,69.995,200.0
VT,2018-05-16-0420-50S.LC07__001_00_01,69.995,200.0
TC,2018-08-24-0455-40S.LC05__001_00_01,59.995,200.0
VT,2018-06-17-0427-28S.LC10__001_00_01,21.995,200.0
VT,2018-05-01-0517-20S.LC10__001_00_01,19.995,200.0
VT,2018-03-17-1440-17S.LC10__001_00_01,16.995,200.0
TC,2018-05-30-1011-20S.LC10__001_00_01,169.995,200.0
TC,2018-05-24-2228-45S.LC10__001_00_01,94.995,200.0
TC,2018-05-09-1056-00S.LC04__001_00_01,99.995,200.0
VT,2018-04-15-0557-49S.LC10__001_00_01,19.995,200.0
TC,2018-03-16-0508-10S.LC10__001_00_01,19.995,200.0
VT,2018-05-31-2205-00S.LC04__001_00_01,29.995,200.0
TC,2018-04-09-1302-48S.B2DA__001_00_01,99.998,500.0
VT,2018-06-13-0912-04S.LC10__001_00_01,11.995,200.0
VT,2018-05-24-0545-53S.LC10__001_00_01,26.995,200.0
VT,2018-06-22-1845-50S.LC10__001_00_01,14.995,200.0
VT,2018-03-05-1325-29S.LC07__001_00_01,8.995,200.0
TC,2018-08-24-0906-46S.LC09__001_00_01,313.995,200.0
TC,2018-03-28-1330-55S.LC10__001_00_01,24.995,200.0
TR,2018-05-31-2204-25S.LC10__001_00_01,24.995,200.0
TC,2018-03-30-0153-20S.LC10__001_00_01,84.995,200.0
VT,2018-06-15-0632-20S.LC10__001_00_01,49.995,200.0
TC,2018-03-21-0935-26S.LC10__001_00_01,19.995,200.0
TR,2018-04-05-0549-05S.LC10__001_00_01,19.995,200.0
TC,2018-07-09-0305-18S.LC10__001_00_01,34.995,200.0
VT,2018-03-07-0913-12S.LC10__001_00_01,14.995,200.0
LP,2018-04-07-0737-45S.LC10__001_00_01,114.995,200.0
VT,2018-04-19-1451-02S.LC10__001_00_01,27.995,200.0
VT,2018-03-15-1912-50S.LC10__001_00_01,11.995,200.0
VT,2018-07-10-0022-58S.LC10__001_00_01,10.995,200.0
TC,2018-04-30-0142-13S.LC10__001_00_01,26.995,200.0
TC,2018-08-28-1731-31S.LC04__001_00_01,78.995,200.0
TR,2018-04-18-2333-06S.LC07__001_00_01,21.995,200.0
VT,2018-10-10-1842-20S.LC05__001_00_01,17.995,200.0
VT,2018-07-22-0946-15S.LC10__001_00_01,22.995,200.0
TR,2018-06-19-0349-50S.LC10__001_00_01,29.995,200.0
VT,2018-03-17-0151-18S.LC10__001_00_01,10.995,200.0
VT,2018-07-28-0102-08S.LC10__001_00_01,21.995,200.0
TC,2018-04-23-0333-02S.LC10__001_00_01,22.995,200.0
HY,2018-05-19-0755-15S.LC10__001_00_01,14.995,200.0
TC,2018-04-18-0512-05S.LC10__001_00_01,19.995,200.0
TC,2018-04-10-0329-34S.LC10__001_00_01,29.995,200.0
TC,2018-10-18-1740-31S.LC09__001_00_01,43.995,200.0
VT,2018-06-02-0130-30S.LC10__001_00_01,24.995,200.0
VT,2018-06-16-0001-50S.LC10__001_00_01,19.995,200.0
TR,2018-06-19-0649-00S.LC10__001_00_01,39.995,200.0
VT,2018-04-04-0951-18S.LC07__001_00_01,8.995,200.0
LP,2018-06-18-1849-05S.LC01__001_00_01,14.995,200.0
VT,2018-03-10-2341-44S.LC10__001_00_01,11.995,200.0
TC,2018-05-17-0909-50S.LC10__001_00_01,49.995,200.0
VT,2018-07-29-0933-38S.LC10__001_00_01,18.995,200.0
TC,2018-09-21-1743-30S.LC05__001_00_01,69.995,200.0
TC,2018-03-28-0512-50S.LC10__001_00_01,19.995,200.0
HY,2018-03-29-0002-00S.LC10__001_00_01,16.995,200.0
VT,2018-07-11-0036-48S.LC10__001_00_01,23.995,200.0
TC,2018-05-01-1914-14S.LC10__001_00_01,17.995,200.0
TC,2018-10-13-0619-16S.LC05__001_00_01,103.995,200.0
TC,2018-05-22-1836-38S.B2DA__001_00_01,81.998,500.0
VT,2018-04-22-0412-04S.LC10__001_00_01,9.995,200.0
TR,2018-04-02-2351-51S.B2DA__001_00_01,16.998,500.0
TC,2018-03-20-1310-46S.LC05__001_00_01,198.995,200.0
TC,2018-08-04-0103-30S.LC05__001_00_01,169.995,200.0
VT,2018-05-21-0926-05S.LC10__001_00_01,14.995,200.0
TR,2018-10-20-1810-40S.LC04__001_00_01,99.995,200.0
VT,2018-03-21-2218-20S.LC10__001_00_01,12.995,200.0
VT,2018-05-05-1102-10S.LC10__001_00_01,29.995,200.0
LP,2018-07-03-0049-03S.LC10__001_00_01,106.995,200.0
TC,2018-04-13-0339-42S.LC07__001_00_01,29.995,200.0
VT,2018-04-24-2258-29S.LC10__001_00_01,9.995,200.0
VT,2018-03-19-0308-28S.LC10__001_00_01,12.995,200.0
TC,2018-04-15-0512-43S.LC10__001_00_01,116.995,200.0
TC,2018-05-07-0940-48S.LC10__001_00_01,26.995,200.0
VT,2018-06-19-0644-00S.LC10__001_00_01,29.995,200.0
TC,2018-05-07-1317-34S.LC10__001_00_01,105.995,200.0
VT,2018-04-09-1020-08S.LC10__001_00_01,8.995,200.0
VT,2018-04-15-2126-53S.LC10__001_00_01,29.995,200.0
TR,2018-04-12-0644-22S.LC10__001_00_01,19.995,200.0
LP,2018-05-21-2202-10S.B2DA__001_00_01,19.998,500.0
TR,2018-04-19-1310-25S.LC07__001_00_01,29.995,200.0
VT,2018-03-23-1457-32S.LC10__001_00_01,15.995,200.0
TR,2018-04-03-0958-16S.LC07__001_00_01,21.995,200.0
TC,2018-04-23-0348-56S.LC10__001_00_01,29.995,200.0
VT,2018-08-10-0929-00S.LC05__001_00_01,19.995,200.0
TC,2018-04-08-1036-50S.LC10__001_00_01,23.995,200.0
TC,2018-07-02-2132-46S.LC10__001_00_01,58.995,200.0
TR,2018-06-30-0724-45S.LC10__001_00_01,34.995,200.0
TC,2018-08-26-1132-53S.LC09__001_00_01,126.995,200.0
TC,2018-09-05-0950-50S.LC08__001_00_01,49.995,200.0
HY,2018-04-10-1909-31S.LC10__001_00_01,51.995,200.0
TC,2018-09-23-0532-48S.LC09__001_00_01,91.995,200.0
TC,2018-06-04-0720-25S.LC10__001_00_01,19.995,200.0
TR,2018-05-11-0327-40S.LC10__001_00_01,29.995,200.0
VT,2018-04-13-1319-41S.LC03__001_00_01,19.995,200.0
TR,2018-10-20-1750-10S.LC05__001_00_01,74.995,200.0
LP,2018-09-28-1400-51S.LC08__001_00_01,148.995,200.0
VT,2018-05-01-0058-13S.LC10__001_00_01,16.995,200.0
TR,2018-08-27-2013-40S.LC09__001_00_01,29.995,200.0
TC,2018-06-29-0424-45S.LC09__001_00_01,99.995,200.0
HY,2018-05-16-2128-50S.LC10__001_00_01,19.995,200.0
VT,2018-03-14-0622-51S.LC10__001_00_01,18.995,200.0
VT,2018-04-18-0421-38S.LC10__001_00_01,8.995,200.0
VT,2018-04-23-1842-16S.LC10__001_00_01,28.995,200.0
TC,2018-05-04-1157-10S.LC10__001_00_01,49.995,200.0
VT,2018-04-24-1731-35S.LC10__001_00_01,9.995,200.0
VT,2018-08-07-0157-33S.LC05__001_00_01,23.995,200.0
TC,2018-03-28-0137-45S.LC10__001_00_01,29.995,200.0
VT,2018-03-23-1108-53S.LC10__001_00_01,26.995,200.0
VT,2018-04-12-1932-00S.LC10__001_00_01,9.995,200.0
HY,2018-09-04-2021-22S.LC05__001_00_01,67.995,200.0
TC,2018-04-27-2133-46S.B2DA__001_00_01,100.998,500.0
VT,2018-08-01-2010-55S.LC04__001_00_01,44.995,200.0
VT,2018-06-14-1903-50S.LC10__001_00_01,14.995,200.0
VT,2018-06-21-0948-30S.LC10__001_00_01,29.995,200.0
VT,2018-04-15-0017-30S.LC10__001_00_01,9.995,200.0
VT,2018-03-15-0744-52S.LC10__001_00_01,11.995,200.0
LP,2018-09-18-0127-30S.LC05__001_00_01,49.995,200.0
LP,2018-04-16-0902-38S.B2DA__001_00_01,103.998,500.0
LP,2018-05-22-0711-08S.LC10__001_00_01,181.995,200.0
VT,2018-04-21-1730-02S.LC10__001_00_01,9.995,200.0
VT,2018-05-02-0356-00S.LC10__001_00_01,19.995,200.0
VT,2018-04-14-1833-03S.LC10__001_00_01,17.995,200.0
VT,2018-05-03-2229-20S.LC10__001_00_01,39.995,200.0
VT,2018-08-07-0158-18S.LC05__001_00_01,31.995,200.0
VT,2018-03-10-1205-16S.LC10__001_00_01,17.995,200.0
TC,2018-08-22-0332-56S.LC04__001_00_01,123.995,200.0
VT,2018-04-24-1317-08S.LC10__001_00_01,9.995,200.0
TC,2018-04-15-0642-21S.LC10__001_00_01,19.995,200.0
VT,2018-03-21-1357-56S.LC10__001_00_01,14.995,200.0
TC,2018-05-02-0338-07S.B2DA__001_00_01,52.998,500.0
TR,2018-06-30-0714-40S.LC07__001_00_01,19.995,200.0
TC,2018-04-25-0451-30S.LC10__001_00_01,29.995,200.0
TC,2018-04-20-1442-20S.LC10__001_00_01,44.995,200.0
VT,2018-06-18-0616-20S.LC10__001_00_01,19.995,200.0
VT,2018-04-05-0501-59S.LC10__001_00_01,9.995,200.0
TC,2018-03-10-0614-45S.LC10__001_00_01,54.995,200.0
TC,2018-04-02-0735-07S.LC10__001_00_01,22.995,200.0
TR,2018-05-02-1116-40S.LC10__001_00_01,49.995,200.0
TC,2018-05-24-2028-10S.LC10__001_00_01,19.995,200.0
TR,2018-06-15-0021-50S.LC07__001_00_01,29.995,200.0
VT,2018-05-16-1101-30S.LC10__001_00_01,29.995,200.0
VT,2018-04-24-1106-47S.LC10__001_00_01,16.995,200.0
TC,2018-06-12-1153-20S.LC09__001_00_01,124.995,200.0
VT,2018-04-17-2051-09S.LC10__001_00_01,10.995,200.0
VT,2018-06-18-1925-20S.LC10__001_00_01,59.995,200.0
TC,2018-07-05-0706-31S.LC10__001_00_01,158.995,200.0
TC,2018-06-13-0418-27S.LC07__001_00_01,152.995,200.0
TR,2018-05-01-2127-50S.LC10__001_00_01,49.995,200.0
VT,2018-05-22-1745-00S.LC10__001_00_01,29.995,200.0
VT,2018-04-02-2256-53S.LC10__001_00_01,8.995,200.0
VT,2018-06-17-0507-43S.LC10__001_00_01,16.995,200.0
VT,2018-06-19-1449-10S.LC10__001_00_01,14.995,200.0
VT,2018-05-16-0326-20S.LC10__001_00_01,29.995,200.0
TC,2018-04-17-2218-44S.LC10__001_00_01,9.995,200.0
TC,2018-05-14-1904-00S.LC07__001_00_01,39.995,200.0
VT,2018-04-22-1949-47S.LC10__001_00_01,14.995,200.0
TC,2018-06-04-1057-34S.B2DA__001_00_01,75.998,500.0
LP,2018-10-19-2331-22S.LC08__001_00_01,131.995,200.0
TC,2018-06-21-1843-00S.LC01__001_00_01,39.995,200.0
VT,2018-06-28-0333-08S.LC10__001_00_01,11.995,200.0
VT,2018-05-22-0143-45S.LC10__001_00_01,14.995,200.0
VT,2018-06-09-0654-53S.LC10__001_00_01,11.995,200.0
TR,2018-03-06-0510-05S.LC01__001_00_01,20.995,200.0
TC,2018-05-23-0653-57S.LC10__001_00_01,122.995,200.0
VT,2018-04-19-2121-06S.LC10__001_00_01,14.995,200.0
TR,2018-06-04-0645-40S.LC10__001_00_01,39.995,200.0
LP,2018-05-13-1836-50S.B2DA__001_00_01,69.998,500.0
VT,2018-06-18-2245-20S.LC10__001_00_01,39.995,200.0
TC,2018-04-21-1258-12S.LC07__001_00_01,24.995,200.0
TC,2018-06-26-0923-00S.LC06__001_00_01,119.995,200.0
VT,2018-03-06-1728-41S.LC03__001_00_01,48.995,200.0
VT,2018-04-09-1007-58S.LC07__001_00_01,13.995,200.0
TC,2018-04-21-1055-54S.LC10__001_00_01,19.995,200.0
TC,2018-08-10-2145-08S.LC06__001_00_01,61.995,200.0
VT,2018-05-15-0515-34S.LC10__001_00_01,11.995,200.0
VT,2018-04-07-1809-47S.LC10__001_00_01,8.995,200.0
VT,2018-03-04-2258-44S.LC07__001_00_01,14.995,200.0
VT,2018-03-11-0050-30S.LC10__001_00_01,11.995,200.0
VT,2018-03-11-0716-17S.LC10__001_00_01,16.995,200.0
VT,2018-06-17-0503-53S.LC10__001_00_01,11.995,200.0
TC,2018-03-05-2320-51S.LC05__001_00_01,58.995,200.0
VT,2018-05-11-2244-07S.LC10__001_00_01,22.995,200.0
VT,2018-06-08-0719-10S.LC10__001_00_01,17.995,200.0
TC,2018-06-21-2106-00S.LC10__001_00_01,79.995,200.0
VT,2018-06-02-2238-50S.LC10__001_00_01,19.995,200.0
TC,2018-05-08-1107-00S.LC10__001_00_01,59.995,200.0
VT,2018-04-30-0334-26S.LC10__001_00_01,9.995,200.0
VT,2018-04-30-0009-16S.LC10__001_00_01,9.995,200.0
VT,2018-06-19-0055-08S.LC10__001_00_01,24.995,200.0
TR,2018-07-06-1143-34S.LC10__001_00_01,12.995,200.0
LP,2018-04-23-1258-26S.LC10__001_00_01,92.995,200.0
TR,2018-06-25-1930-50S.LC07__001_00_01,29.995,200.0
VT,2018-03-31-0452-48S.LC10__001_00_01,8.995,200.0
LP,2018-10-08-1206-43S.LC05__001_00_01,26.995,200.0
VT,2018-04-17-0604-10S.LC03__001_00_01,9.995,200.0
VT,2018-05-24-0108-35S.LC10__001_00_01,19.995,200.0
TC,2018-03-29-1903-56S.LC10__001_00_01,15.995,200.0
TR,2018-10-19-1251-10S.LC09__001_00_01,59.995,200.0
VT,2018-04-15-0046-40S.LC10__001_00_01,9.995,200.0
VT,2018-06-14-2109-50S.LC07__001_00_01,9.995,200.0
VT,2018-04-19-0109-34S.B2DA__001_00_01,6.998,500.0
HY,2018-03-10-0105-50S.LC10__001_00_01,34.995,200.0
LP,2018-07-19-0048-23S.LC10__001_00_01,136.995,200.0
TC,2018-09-29-2354-21S.LC04__001_00_01,88.995,200.0
TC,2018-08-18-1912-00S.LC08__001_00_01,199.995,200.0
TC,2018-04-27-1733-59S.LC10__001_00_01,20.995,200.0
LP,2018-04-22-0731-35S.LC10__001_00_01,44.995,200.0
VT,2018-04-29-1120-32S.LC10__001_00_01,9.995,200.0
VT,2018-04-17-0302-51S.LC10__001_00_01,9.995,200.0
VT,2018-04-26-1920-27S.LC10__001_00_01,26.995,200.0
TC,2018-03-21-0058-07S.LC10__001_00_01,32.995,200.0
TC,2018-04-22-0358-48S.LC10__001_00_01,19.995,200.0
VT,2018-03-29-1237-41S.LC10__001_00_01,9.995,200.0
TC,2018-04-08-0420-21S.LC10__001_00_01,20.995,200.0
VT,2018-03-24-0556-17S.LC10__001_00_01,9.995,200.0
TC,2018-06-15-0627-40S.LC10__001_00_01,49.995,200.0
TC,2018-06-17-1418-40S.LC10__001_00_01,39.995,200.0
VT,2018-04-11-0508-30S.LC10__001_00_01,8.995,200.0
VT,2018-04-01-0504-29S.LC10__001_00_01,7.995,200.0
TC,2018-08-25-1837-36S.LC09__001_00_01,148.995,200.0
TR,2018-05-06-1152-40S.LC10__001_00_01,69.995,200.0
TC,2018-06-25-0337-00S.LC04__001_00_01,99.995,200.0
VT,2018-03-17-0703-59S.LC10__001_00_01,8.995,200.0
HY,2018-03-13-0926-30S.LC10__001_00_01,21.995,200.0
TR,2018-03-31-0751-07S.B2DA__001_00_01,28.998,500.0
TC,2018-06-08-2052-55S.LC10__001_00_01,54.995,200.0
VT,2018-03-22-0633-25S.LC10__001_00_01,29.995,200.0
VT,2018-08-14-2159-34S.LC05__001_00_01,24.995,200.0
HY,2018-03-11-0549-15S.LC10__001_00_01,27.995,200.0
LP,2018-03-15-0605-10S.B2DA__001_00_01,14.998,500.0
TR,2018-08-27-1950-00S.LC05__001_00_01,49.995,200.0
VT,2018-06-14-2024-26S.LC10__001_00_01,13.995,200.0
TC,2018-05-20-2246-10S.LC10__001_00_01,19.995,200.0
TC,2018-04-13-0307-19S.LC10__001_00_01,28.995,200.0
HY,2018-10-03-2008-10S.LC05__001_00_01,79.995,200.0
VT,2018-03-20-1434-02S.LC10__001_00_01,17.995,200.0
TC,2018-05-04-1119-00S.B2DA__001_00_01,179.998,500.0
TC,2018-05-12-1728-40S.LC10__001_00_01,79.995,200.0
VT,2018-04-10-0105-51S.LC10__001_00_01,8.995,200.0
TC,2018-04-13-0904-08S.LC10__001_00_01,29.995,200.0
VT,2018-06-18-0929-40S.LC10__001_00_01,29.995,200.0
LP,2018-08-03-0449-45S.LC05__001_00_01,37.995,200.0
VT,2018-03-29-2223-47S.LC10__001_00_01,8.995,200.0
VT,2018-03-04-0320-13S.LC05__001_00_01,10.995,200.0
TC,2018-10-16-1112-13S.LC05__001_00_01,166.995,200.0
LP,2018-08-07-0052-32S.LC05__001_00_01,22.995,200.0
TR,2018-05-13-0056-50S.LC10__001_00_01,79.995,200.0
VT,2018-06-12-1423-15S.LC10__001_00_01,14.995,200.0
LP,2018-08-23-1748-45S.LC05__001_00_01,34.995,200.0
TC,2018-04-26-1152-31S.LC10__001_00_01,19.995,200.0
TC,2018-10-14-1701-36S.LC06__001_00_01,78.995,200.0
TC,2018-03-23-2305-30S.LC10__001_00_01,21.995,200.0
HY,2018-05-03-1956-40S.LC10__001_00_01,59.995,200.0
HY,2018-05-20-1829-53S.LC10__001_00_01,66.995,200.0
TC,2018-06-29-1102-40S.LC04__001_00_01,59.995,200.0
TC,2018-09-03-1928-36S.LC04__001_00_01,63.995,200.0
LP,2018-04-21-0321-37S.B2DA__001_00_01,162.998,500.0
VT,2018-04-14-1803-47S.LC10__001_00_01,9.995,200.0
VT,2018-03-24-0035-02S.LC10__001_00_01,9.995,200.0
VT,2018-03-25-2223-00S.LC10__001_00_01,9.995,200.0
VT,2018-05-15-1112-40S.LC10__001_00_01,39.995,200.0
HY,2018-03-14-0636-44S.LC10__001_00_01,115.995,200.0
VT,2018-05-25-0704-05S.LC10__001_00_01,24.995,200.0
TC,2018-04-10-1727-23S.B2DA__001_00_01,122.998,500.0
VT,2018-05-23-2300-15S.LC10__001_00_01,14.995,200.0
TR,2018-03-26-2252-53S.LC07__001_00_01,19.995,200.0
TC,2018-03-13-0041-35S.LC10__001_00_01,19.995,200.0
LP,2018-04-20-1806-13S.LC10__001_00_01,126.995,200.0
TC,2018-05-30-1751-10S.LC10__001_00_01,199.995,200.0
LP,2018-08-25-2208-45S.LC05__001_00_01,24.995,200.0
VT,2018-03-08-0017-47S.LC10__001_00_01,12.995,200.0
VT,2018-03-29-1305-39S.LC10__001_00_01,9.995,200.0
TC,2018-04-01-0415-57S.LC10__001_00_01,22.995,200.0
VT,2018-03-19-0003-37S.LC10__001_00_01,9.995,200.0
VT,2018-04-11-0407-08S.LC10__001_00_01,11.995,200.0
TR,2018-04-19-1710-51S.LC10__001_00_01,38.995,200.0
TC,2018-09-11-1748-00S.LC05__001_00_01,59.995,200.0
VT,2018-08-12-0503-27S.LC08__001_00_01,22.995,200.0
VT,2018-06-19-0103-38S.LC10__001_00_01,9.995,200.0
VT,2018-05-12-0139-23S.LC10__001_00_01,56.995,200.0
TC,2018-04-08-2339-28S.B2DA__001_00_01,96.998,500.0
VT,2018-03-11-1129-49S.LC10__001_00_01,6.995,200.0
TC,2018-05-22-0621-37S.LC10__001_00_01,152.995,200.0
VT,2018-08-22-0355-57S.LC09__001_00_01,22.995,200.0
TR,2018-06-25-1932-40S.LC04__001_00_01,19.995,200.0
VT,2018-03-15-0054-05S.LC10__001_00_01,10.995,200.0
TR,2018-06-16-0929-10S.LC10__001_00_01,39.995,200.0
TR,2018-04-24-1702-43S.LC10__001_00_01,19.995,200.0
TC,2018-05-01-0319-27S.LC10__001_00_01,12.995,200.0
VT,2018-03-08-2149-25S.LC10__001_00_01,8.995,200.0
TC,2018-06-26-2155-30S.LC10__001_00_01,79.995,200.0
TC,2018-06-13-0116-13S.LC10__001_00_01,36.995,200.0
TC,2018-03-05-2202-05S.LC09__001_00_01,19.995,200.0
TC,2018-03-19-0146-40S.LC06__001_00_01,189.995,200.0
VT,2018-05-04-1752-10S.LC10__001_00_01,39.995,200.0
TC,2018-04-22-1910-16S.LC07__001_00_01,9.995,200.0
TC,2018-04-07-1703-15S.LC10__001_00_01,39.995,200.0
TC,2018-04-29-2005-30S.LC09__001_00_01,69.995,200.0
HY,2018-10-09-1732-29S.LC09__001_00_01,130.995,200.0
VT,2018-04-12-1210-12S.LC10__001_00_01,22.995,200.0
TC,2018-08-10-1106-04S.LC05__001_00_01,185.995,200.0
TC,2018-08-13-0550-43S.LC05__001_00_01,56.995,200.0
VT,2018-10-08-2207-50S.LC09__001_00_01,29.995,200.0
TC,2018-06-21-2116-41S.LC08__001_00_01,68.995,200.0
VT,2018-05-06-0624-30S.LC10__001_00_01,29.995,200.0
TR,2018-05-06-0339-50S.LC10__001_00_01,29.995,200.0
TC,2018-05-14-1020-26S.LC10__001_00_01,23.995,200.0
VT,2018-10-08-2240-05S.LC05__001_00_01,24.995,200.0
LP,2018-09-05-0926-10S.LC08__001_00_01,34.995,200.0
VT,2018-04-26-1008-37S.LC10__001_00_01,9.995,200.0
VT,2018-07-25-1734-18S.LC10__001_00_01,19.995,200.0
VT,2018-06-20-2349-53S.LC10__001_00_01,16.995,200.0
VT,2018-07-03-2253-18S.LC10__001_00_01,13.995,200.0
TC,2018-05-23-1313-25S.LC10__001_00_01,134.995,200.0
TC,2018-05-28-0950-10S.LC10__001_00_01,99.995,200.0
TC,2018-08-11-2125-20S.LC05__001_00_01,59.995,200.0
TR,2018-04-02-2342-13S.LC10__001_00_01,56.995,200.0
TC,2018-04-19-1420-06S.LC10__001_00_01,48.995,200.0
TC,2018-08-30-0336-00S.LC04__001_00_01,34.995,200.0
VT,2018-06-14-0037-55S.LC10__001_00_01,14.995,200.0
VT,2018-06-22-0640-59S.LC10__001_00_01,15.995,200.0
VT,2018-05-05-0605-13S.LC07__001_00_01,46.995,200.0
VT,2018-05-04-1347-50S.LC10__001_00_01,29.995,200.0
VT,2018-05-19-1933-00S.LC10__001_00_01,49.995,200.0
VT,2018-05-04-0529-40S.LC10__001_00_01,19.995,200.0
VT,2018-03-31-0653-16S.LC10__001_00_01,8.995,200.0
VT,2018-03-07-0951-42S.B2DA__001_00_01,7.998,500.0
VT,2018-06-25-0406-00S.LC10__001_00_01,19.995,200.0
TC,2018-06-23-1833-05S.LC10__001_00_01,44.995,200.0
VT,2018-04-11-0332-48S.LC10__001_00_01,8.995,200.0
VT,2018-06-19-0326-00S.LC10__001_00_01,19.995,200.0
VT,2018-04-30-1328-12S.LC07__001_00_01,9.995,200.0
TR,2018-05-03-2017-35S.LC10__001_00_01,34.995,200.0
TC,2018-04-19-1121-27S.LC10__001_00_01,19.995,200.0
VT,2018-04-11-1226-09S.LC10__001_00_01,9.995,200.0
LP,2018-03-16-0716-21S.LC06__001_00_01,8.995,200.0
LP,2018-10-02-0019-20S.LC05__001_00_01,79.995,200.0
TC,2018-03-16-1755-10S.B2DA__001_00_01,85.998,500.0
HY,2018-04-14-0406-25S.LC10__001_00_01,264.995,200.0
VT,2018-04-10-1932-30S.LC10__001_00_01,8.995,200.0
TC,2018-03-18-2342-57S.B2DA__001_00_01,19.998,500.0
TR,2018-04-22-0726-10S.LC07__001_00_01,44.995,200.0
VT,2018-03-13-1022-55S.LC10__001_00_01,11.995,200.0
TC,2018-08-22-1914-30S.LC05__001_00_01,34.995,200.0
TC,2018-04-26-0153-03S.B2DA__001_00_01,96.998,500.0
